Image url,Title,Design Type,Published,Published date,Total Applies,Total Usages
https://template.canva.com/EAFwLVxm_tA/1/0/400w-1dRyKYpL0vg.jpg,Purple and Orange Modern Halloween Special Giveaway Instagram Post,Instagram Post,Profile Only,"Oct 3, 2023",0,0
https://template.canva.com/EAFwLS86gnk/1/0/400w-Fde4TMKq40E.jpg,Black and Teal Modern Optometrist & Optician Service Facebook Ad,Facebook Ad,Profile Only,"Oct 3, 2023",0,0
https://template.canva.com/EAFwEwXfx14/1/0/283w-Q4r77ojv184.jpg,Maroon And Black Modern Halloween Night Party Poster,Poster,Profile Only,"Oct 2, 2023",0,0
https://template.canva.com/EAFwE_e0_As/2/0/283w-91uuGjZe7ZQ.jpg,Orange And Black Modern Haunted House Poster,Poster,Profile Only,"Oct 2, 2023",1,0
https://template.canva.com/EAFwE7qLyMs/1/0/320w-pKerJ_yDv1s.jpg,White And Brown Modern Happy Monday Threads Post,Threads,Profile Only,"Oct 2, 2023",0,0
https://template.canva.com/EAFwE5e2at0/1/0/400w-2xc-S6WUbgM.jpg,Merah Tua Modern Twibbon Selamat Hari Pahlawan Instagram Post,Instagram Post,Profile Only,"Oct 2, 2023",0,0
https://template.canva.com/EAFwE1yjh-Y/1/0/400w-yOkKLVLbyb0.jpg,Putih Dan Merah Tua Ilustrasi Selamat Hari Pahlawan Nasional Instagram Post,Instagram Post,Profile Only,"Oct 2, 2023",0,0
https://template.canva.com/EAFv-feFyVE/2/0/400w-8Lv-TPpEDus.jpg,Red Modern Elementary School Graduation Certificate,A4 (Landscape),Profile Only,"Oct 1, 2023",0,0
https://template.canva.com/EAFvzyANT8U/1/0/400w-DqSp73JhQIU.jpg,White And Navy Modern Professional Website Creation Service Instagram Post,Instagram Post,Profile Only,"Sep 29, 2023",0,0
https://template.canva.com/EAFvz1P2Dr4/1/0/400w-R0WhdLXnp9A.jpg,Navy And Maroon Modern Tips For Maintaining Heart Health Instagram Post,Instagram Post,Profile Only,"Sep 29, 2023",0,0
https://template.canva.com/EAFvz1BUuMI/1/0/400w-tNT5I1IbA3Q.jpg,White And Green Modern Financial Management Tips Instagram Post,Instagram Post,Profile Only,"Sep 29, 2023",0,0
https://template.canva.com/EAFvz6i4yNg/1/0/283w-xmQk4SlMsBA.jpg,White And Green Modern Certificate,Certificate (A4 - Portrait),Profile Only,"Sep 29, 2023",0,0
https://template.canva.com/EAFvzwjRqdc/1/0/283w-HZsfQ2rM15E.jpg,White And Black Modern Certificate,Certificate (A4 - Portrait),Profile Only,"Sep 29, 2023",0,0
https://template.canva.com/EAFvzkXdPJs/1/0/284w-TW14nnxrBkc.jpg,Black And White Modern Welcome To Our Team Announcement,Invitation (A6),Profile Only,"Sep 29, 2023",0,0
https://template.canva.com/EAFvzt351GA/1/0/284w-lebodmQn-Ok.jpg,White And Black Modern Welcome To The Team Announcement,Invitation (A6),Profile Only,"Sep 29, 2023",0,0
https://template.canva.com/EAFvznUVxBo/2/0/320w-ZhZgR_mROg4.jpg,White Modern Happy Monday Threads Post,Threads,Profile Only,"Sep 29, 2023",0,0
https://template.canva.com/EAFvzrIixJc/1/0/400w-lbwr_l5aKR0.jpg,Maroon And Blue Modern HVAC Business Card,Business Card,Profile Only,"Sep 29, 2023",0,0
https://template.canva.com/EAFvzjf-rxY/1/0/400w-ng4QreVGhaU.jpg,Maroon And Navy Modern HVAC Business Card,Business Card,Profile Only,"Sep 29, 2023",0,0
https://template.canva.com/EAFvtEj7gX8/1/0/400w-G1Q1N5UwTeM.jpg,Purple And Blue Modern Marketing Strategy Presentation,Presentation,Profile Only,"Sep 28, 2023",0,0
https://template.canva.com/EAFvpY-Nunc/1/0/225w--3lQ1Hc4_hA.jpg,Black and Yellow Modern Barbershop Promo Instagram Story,Your Story,Profile Only,"Sep 27, 2023",0,0
https://template.canva.com/EAFvpRkUhJQ/1/0/225w-poz0TgMf60U.jpg,Beige Simple Fashion Sale Instagram Story,Your Story,Profile Only,"Sep 27, 2023",0,0
https://template.canva.com/EAFvpD5anU4/1/0/400w-BVUlva6FqBY.jpg,Green and Black Modern CCTV Service Facebook Post,Facebook Post (Square),Profile Only,"Sep 27, 2023",0,0
https://template.canva.com/EAFvnDC09CE/1/0/283w-BW92SLLMVFE.jpg,Navy And Teal Modern Corporate Project Proposal,A4,Profile Only,"Sep 27, 2023",0,0
https://template.canva.com/EAFvnOvDkMM/1/0/400w-eT2fRyNnc-o.jpg,White And Navy Modern Medical Center Facebook Cover,Facebook Cover,Profile Only,"Sep 27, 2023",0,0
https://template.canva.com/EAFvnFFewxg/1/0/400w-QA_9iLVLJGw.jpg,White And Blue Modern Medical Center Facebook Cover,Facebook Cover,Profile Only,"Sep 27, 2023",0,0
https://template.canva.com/EAFvnAlvyj4/1/0/400w-b--q1ccngqE.jpg,Maroon And Black Illustration Haunted House Facebook Cover,Facebook Cover,Profile Only,"Sep 27, 2023",0,0
https://template.canva.com/EAFvnLijVPo/1/0/400w-iT4BNI8WXC0.jpg,Purple And Black Illustration Haunted House Facebook Cover,Facebook Cover,Profile Only,"Sep 27, 2023",0,0
https://template.canva.com/EAFvha35A6U/1/0/400w-3kWOfPc3h5c.jpg,Purple And Black Illustration Halloween Night Party Facebook Ad,Facebook Ad,Profile Only,"Sep 26, 2023",0,0
https://template.canva.com/EAFvhaTin4U/1/0/400w-txHCY45T4I8.jpg,White And Orange Modern Logistic Service Facebook Ad,Facebook Ad,Profile Only,"Sep 26, 2023",0,0
https://template.canva.com/EAFvhWjp_EA/1/0/400w-Bd0UueswUnc.jpg,White And Maroon Modern Logistic Service Facebook Ad,Facebook Ad,Profile Only,"Sep 26, 2023",0,0
https://template.canva.com/EAFvhY1o6hA/1/0/400w-cUIwo5UFnT0.jpg,White And Purple Modern Web Creation Service Instagram Post,Instagram Post,Profile Only,"Sep 26, 2023",0,0
